"Document";"Document title";"Committee Code";"Dossier";"Dossier start date";"Dossier end date";"URL";"File"
"D00088/01";"Cover note to permanent representations:Vote on the draft Commission Regulation imposing testing and information requirements on the importers or manufacturers of certain priority substances in accordance with Council Regulation (EEC) N° 793/93 on the evaluation and control of the risks of existing substances.";"C12300";"CMTD(2008)0042";"07/04/2008";"14/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=58&DS_ID=88&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=88&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00073/01";"Cover letter: vote on the draft Commission Communication and Recommendation on the results of the risk evaluation and the risk reduction strategies for the substances: cadmium and cadmium oxide";"C12300";"CMTD(2008)0029";"04/04/2008";"14/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=45&DS_ID=73&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=73&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00102/01";"Cover letter - Vote on the draft Commission Regulation imposing, pursuant to Council Regulation (EEC) No 793/93, testing and information requirements on importers and manufacturers of certain substances that may be persistent, bioaccumulating and toxic and are listed in the European Inventory of Existing Commercial Chemical Substances";"C12300";"CMTD(2008)0049";"09/04/2008";"16/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=65&DS_ID=102&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=102&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00119/01";"List of participants";"C20402";"CMTD(2008)0037";"08/04/2008";"09/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=53&DS_ID=119&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=119&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00248/01";"Draft Commission Regulation amending Annex II to Directive 2005/36/EC (seafarers)";"C26900";"CMTD(2008)0101";"18/04/2008";"16/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=117&DS_ID=248&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=248&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00268/01";"Report from the Commission to the European Parliament and the Council on the implementation of the Public Health Programme in 2006  ";"C34900";"CMTD(2008)0109";"22/04/2008";"22/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=125&DS_ID=268&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=268&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00247/01";"Guidelines for new Calls for Proposals in the MEDIA Promotion scheme (Promotion/Access to Markets 11/2008 and Promotion outside MEDIA countries 12/2008)";"C31600";"CMTD(2008)0067";"25/04/2008";"25/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=83&DS_ID=247&Version=1";""
"D00290/01";"Selection procedure town twininning citizens'meetings phase 3/2008";"C30400";"CMTD(2008)0082";"14/04/2008";"22/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=98&DS_ID=290&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=290&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00179/01";"Armenia Annual Action Programme 2008: Memorandum to the ENPI Committee";"C31300";"CMTD(2008)0074";"07/05/2008";"07/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=90&DS_ID=179&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=179&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00212/01";"Lebanon AAP 2008 - Memorandum";"C31300";"CMTD(2008)0074";"07/05/2008";"07/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=90&DS_ID=212&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=212&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00277/01";"written consultation concerning a revised budget for elements of the Culture Programme that need to be launched in 2008 but financed on the 2009 budget";"C31700";"CMTD(2008)0111";"18/04/2008";"25/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=127&DS_ID=277&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=277&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00163/01";"For opinion under management procedure: Commission proposal on 2009 financial breakdown for MEDIA Programme activities (Doc. MEDIA 08/22/EN)";"C31600";"CMTD(2008)0067";"25/04/2008";"25/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=83&DS_ID=163&Version=1";""
"D00202/01";"Information regarding the final budgetary allocation to the Youth in Action Programme for the year 2008 - EN";"C31100";"CMTD(2008)0086";"01/01/2008";"31/12/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=102&DS_ID=202&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=202&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00202/01";"Annex - Budget 2008 - EN";"C31100";"CMTD(2008)0086";"01/01/2008";"31/12/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=102&DS_ID=202&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=202&version=1&AttLang=en&db_number=2&docType=OTHER"
"D00183/01";"Georgia Annual Action Programme 2008: Memorandum to the ENPI Committee";"C31300";"CMTD(2008)0074";"07/05/2008";"07/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=90&DS_ID=183&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=183&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00199/01";"Letter to Ambassadors - Committee ""Europe for Citizens""";"C30400";"CMTD(2008)0082";"14/04/2008";"22/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=98&DS_ID=199&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=199&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00369/01";"Draft summary to the Commission     concerning the 2008 Annual Action Programme  implementing the programming document ""Thematic Strategy Paper for the environment and sustainable management of natural resources, including energy (ENRTP) for the period 2007-2010"" for the Development Cooperation Instrument  ";"C31400";"CMTD(2008)0129";"22/05/2008";"22/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=145&DS_ID=369&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=369&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00416/01";"Written procedure for the consultation of the MEDIA 2007 Committee on proposals of allocation of Community funds in the area of TV Broadcasting (Doc MEDIA 08/26/EN and 08/27/EN)  Results of the deadline of 22nd of February 2008 of the call for proposals 19/2007 - ""TV Broadcasting"" - Covernote  ";"C31600";"CMTD(2008)0150";"08/05/2008";"23/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=166&DS_ID=416&Version=1";""
"D00465/01";"WRITTEN PROCEDURE - LETTER - Grants to be awarded in the framework of the first centralised selection round (1st February deadline) of the Youth in Action Programme  ";"C31100";"CMTD(2008)0167";"14/05/2008";"21/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=183&DS_ID=465&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=465&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00390/01";"Memorandum to the ENPI Committee";"C31300";"CMTD(2008)0145";"07/05/2008";"23/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=161&DS_ID=390&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=390&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00455/01";"Letter to Ambassadors - Committee ""Europe for Citizens""";"C30400";"CMTD(2008)0166";"08/05/2008";"19/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=182&DS_ID=455&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=455&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00640/01";"NOTE FOR THE ATTENTION OF THE MEMBERS OF THE RADIO SPECTRUM COMMITTEE  Subject: 	Opinion of the Radio Spectrum Committee – Draft Commission Decision on the harmonised use of radio spectrum in the 5875 - 5905 MHz frequency band for safety related applications of Intelligent Transport Systems (ITS)  ";"C15600";"CMTD(2008)0233";"28/05/2008";"10/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=249&DS_ID=640&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=640&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00641/01";"NOTE FOR THE ATTENTION OF THE MEMBERS OF THE RADIO SPECTRUM COMMITTEE  Subject: 	Opinion of the Radio Spectrum Committee – Draft Commission Decision amending Decision 2005/928/EC on the harmonisation of the 169,4-169,8125 MHz frequency band in the Community  ";"C15600";"CMTD(2008)0234";"28/05/2008";"10/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=250&DS_ID=641&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=641&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00527/01";"Notice of written procedure to MS  3 AAP's post 9th ENPI 7 May, 2008";"C31300";"CMTD(2008)0074";"07/05/2008";"07/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=90&DS_ID=527&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=527&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00598/01";"Draft Commission Regulation suspending the introduction into the Community of specimens of certain species of wild fauna and flora - Note to Member States";"C13100";"CMTD(2008)0219";"23/05/2008";"06/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=235&DS_ID=598&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=598&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00549/01";"Information letter to Ambassadors";"C30400";"CMTD(2008)0198";"03/06/2008";"03/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=214&DS_ID=549&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=549&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00494/01";"Invitation for the LLP Committee meeting on 12 June 2008 in SLovenia";"C30800";"CMTD(2008)0179";"12/06/2008";"12/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=195&DS_ID=494&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=494&version=1&AttLang=en&db_number=2&docType=OTHER"
"D00438/02";"WORKING DOCUMENT ";"C07400";"CMTD(2008)0156";"27/05/2008";"27/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=172&DS_ID=438&Version=2";""
"D00602/01";"Consultation on a Draft Commission Directive amending Directive 2006/87/EC of the European Parliament and of the Council laying down technical requirements for inland waterway vessels";"C08400";"CMTD(2008)0221";"26/05/2008";"09/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=237&DS_ID=602&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=602&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00570/01";"WRITTEN PROCEDURE - RESULT - Grants to be awarded in the framework of the first centralised selection round (1st February deadline) of the Youth in Action Programme  ";"C31100";"CMTD(2008)0167";"14/05/2008";"21/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=183&DS_ID=570&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=570&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00653/01";"Implementation of the consolidated programme of study visits  State of the art and future development";"C30800";"CMTD(2008)0179";"12/06/2008";"12/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=195&DS_ID=653&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=653&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00655/01";"Invitation to the Erasmus Mundus Committee meeting of 4 July 2008";"C19100";"CMTD(2008)0238";"04/07/2008";"04/07/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=254&DS_ID=655&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=655&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00541/01";"Selection procedure - Result of the writter consultation on the selection grants to be awarded under the action 2, measure 3: support to projects initiated by civil society organisations";"C30400";"CMTD(2008)0166";"08/05/2008";"19/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=182&DS_ID=541&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=541&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00479/01";"Guidance for VOC Committee";"C10700";"CMTD(2008)0175";"09/04/2008";"09/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=191&DS_ID=479&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=479&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00480/01";"IE Proposal presentation";"C10700";"CMTD(2008)0175";"09/04/2008";"09/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=191&DS_ID=480&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=480&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00481/01";"VOC Directive 1999/13/EC validation tool";"C10700";"CMTD(2008)0175";"09/04/2008";"09/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=191&DS_ID=481&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=481&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00664/01";"Guidelines to translate the intercalibration results into the national classification systems and to derive reference conditions";"C11300";"CMTD(2008)0130";"15/05/2008";"15/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=146&DS_ID=664&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=664&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00665/01";"Intercalibration Work Programme 2008-2011";"C11300";"CMTD(2008)0130";"15/05/2008";"15/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=146&DS_ID=665&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=665&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00668/01";"Information Note. EC assistance Iraq 2008.";"C31400";"CMTD(2008)0151";"03/06/2008";"03/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=167&DS_ID=668&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=668&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00684/01";"Minutes of the meeting of Erasmus Mundus National Structures on 26 October 2007 ";"C19100";"CMTD(2008)0238";"04/07/2008";"04/07/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=254&DS_ID=684&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=684&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00694/01";"Note for the attention of the Members of the Programme Committee for the execution of the Specific programme ‘Cooperation’ implementing the Seventh Framework Programme (2007-2013) of the European Community for research, technological development and demonstration – Theme 9 “Space” Outcome of written procedure 3 deadline 23/5/2008 ";"C32400";"CMTD(2008)0248";"05/05/2008";"23/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=264&DS_ID=694&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=694&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00722/01";"Explanatory note for Interregional AAP 2008 - Part III";"C31300";"CMTD(2008)0193";"11/06/2008";"11/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=209&DS_ID=722&Version=1";""
"D00772/01";"Background Information on agenda item 4.3 (EIPC-11-2008)";"C31000";"CMTD(2008)0010";"26/06/2008";"26/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=26&DS_ID=772&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=772&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00802/01";"Criminal Justice 2008 - list of proposals received ";"C33400";"CMTD(2008)0288";"06/06/2008";"13/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=304&DS_ID=802&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=802&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00802/01";"Final conclusions - operating grants - JPEN 2008";"C33400";"CMTD(2008)0288";"06/06/2008";"13/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=304&DS_ID=802&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=802&version=1&AttLang=en&db_number=2&docType=OTHER"
"D00787/01";"EIP 2009 WORK Programme [Calls for proposals] (EIPC-10-2008)";"C31000";"CMTD(2008)0010";"26/06/2008";"26/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=26&DS_ID=787&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=787&version=1&AttLang=en&db_number=1&docType=OTHER"
