"Document";"Document title";"Committee Code";"Dossier";"Dossier start date";"Dossier end date";"URL";"File"
"D00324/01";"COM 43 - Summary record";"C13100";"CMTD(2008)0019";"04/04/2008";"04/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=35&DS_ID=324&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=324&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00325/01";"Summary record of SCOFCAH meeting, GFL section - 15/04/08";"C20406";"CMTD(2008)0008";"15/04/2008";"15/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=24&DS_ID=325&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=325&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00325/01";"Annex to the summary record - list of participants";"C20406";"CMTD(2008)0008";"15/04/2008";"15/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=24&DS_ID=325&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=325&version=1&AttLang=en&db_number=2&docType=SUMMARY_RECORD"
"D00327/01";"CIP-ICTC Meeting of 24 April 2008 - Summary Record";"C31200";"CMTD(2008)0044";"24/04/2008";"24/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=60&DS_ID=327&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=327&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00328/01";"Summary Record of the 10th Meeting of the Management Committee for the Common Organisation of Agricultural Markets";"C35000";"CMTD(2008)0043";"14/04/2008";"15/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=59&DS_ID=328&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=328&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00328/01";"Summary Record of the 10th Meeting of the Management Committee for the Common Organisation of Agricultural Markets";"C35000";"CMTD(2008)0061";"17/04/2008";"17/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=77&DS_ID=328&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=328&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00336/01";"Summary of the conclusions of the Meeting of the Air Safety Committee (ASC) established by Regulation (EC) 3922/1991 Date of meeting: 2-4 April 2008 Draft Commission Regulation amending Commission Regulation (EC) No 474/2006 of 22 March 2006 establishing the Community list of air carriers which are subject to an operating ban within the Community    ";"C08800";"CMTD(2008)0057";"02/04/2008";"04/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=73&DS_ID=336&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=336&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00281/01";"Summary Report of the 1060th Meeting of the Management Committee for Beef and Veal";"C04600";"CMTD(2008)0059";"16/04/2008";"17/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=75&DS_ID=281&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=281&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00308/01";"Summary report of the forty seventh meeting of the Committee on a uniform visa format Brussels, 22 April 2008  ";"C20800";"CMTD(2008)0002";"22/04/2008";"22/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=2&DS_ID=308&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=308&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00314/01";"Summary Record of the 700th Management Committee for Pigmeat";"C05600";"CMTD(2008)0056";"17/04/2008";"17/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=72&DS_ID=314&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=314&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
