committeeCode;committeeTitle;Service
C20408;Standing Committee on Plants, Animals, Food and Feed - Section: Novel Food and Toxicological safety of the food chain;DG Health and Food Safety
C21900;Committee for implementation of the Kimberley Process certification scheme for the international trade in rough diamonds;Service for Foreign Policy Instruments
